순번,생성일,생성시분,링크ID,도로관리기관,통행속도,Unnamed: 0_x,Source_x,Target_x,LANES_x,ROAD_RANK_x,ROAD_NO_x,ROAD_NAME_x,ROAD_USE_x,MULTI_LINK_x,CONNECT_x,MAX_SPD_x,REST_VEH_x,REST_W_x,REST_H_x,C-ITS_x,LENGTH_x,UPDATEDATE_x,시간
657773,20231106,0,4060256600,10078901.0,18.0,124961,4060143500,4060142800,1,107,-,태위로657번길,0,0,0,50,0,0,0,0,179.7151139,20230519,0.5990503796666666
657774,20231106,0,4060256700,10078901.0,28.0,107927,4060142800,4060143500,1,107,-,태위로657번길,0,0,0,50,0,0,0,0,179.9610683,20230519,0.38563086064285707
657775,20231106,0,4060256800,10078901.0,21.0,156511,4060135800,4060082400,1,107,-,태위로,0,0,0,50,0,0,0,0,88.28132888,20230519,0.2522323682285714
657776,20231106,0,4060256900,10078901.0,62.0,194484,4060082400,4060135800,1,107,-,태위로,0,0,0,50,0,0,0,0,84.44018692,20230519,0.08171630992258064
657777,20231106,0,4060257000,10078901.0,22.0,194329,4060151200,4060083200,1,107,-,-,0,0,0,50,0,0,0,0,58.30167548,20230519,0.15900456949090908
657778,20231106,0,4060257100,10078901.0,29.3,133898,4060083200,4060151200,1,107,-,-,0,0,0,50,0,0,0,0,59.80077083,20230519,0.12245891637542661
657779,20231106,0,4060257200,10078901.0,19.0,16488,4060142400,4060082500,1,107,-,태위로,0,0,0,50,0,0,0,0,108.9551732,20230519,0.34406896800000003
657780,20231106,0,4060257300,10078901.0,31.0,185544,4060082500,4060142400,1,107,-,태위로,0,0,0,50,0,0,0,0,104.3062385,20230519,0.2018830422580645
657781,20231106,0,4060257400,10078901.0,20.0,231663,4060142600,4060082500,1,107,-,태위로658번길,0,0,0,50,0,0,0,0,67.2119547,20230519,0.2016358641
17704884,20231106,245,4060257500,10078901.0,28.0,80436,4060082500,4060142600,1,107,-,태위로658번길,0,0,0,50,0,0,0,0,62.41252304,20230519,0.1337411208
4067198,20231106,25,4060257600,10078901.0,39.7,74196,4060147500,4060147800,1,107,-,태위로,0,0,0,50,0,0,0,0,353.8609424,20230519,0.5348024318387908
4067199,20231106,25,4060257700,10078901.0,25.0,316668,4060147800,4060147500,1,107,-,태위로,0,0,0,50,0,0,0,0,353.8609424,20230519,0.84926626176
10886037,20231106,125,4060257800,10078901.0,19.5,63799,4060082600,4060082500,1,107,-,남원회관로,0,0,0,50,0,0,0,0,153.882974,20230519,0.47348607384615377
657786,20231106,0,4060257900,10078901.0,34.0,493004,4060082500,4060082600,1,107,-,남원회관로,0,0,0,50,0,0,0,0,141.3768439,20230519,0.24948854805882353
